time;x;y;z;MF
0,007;-44,75;-4,75;-65,50;79,47
0,033;-44,25;-4,25;-66,00;79,57
0,100;-44,25;-4,25;-66,00;79,57
0,135;-44,25;-4,25;-65,50;79,16
0,187;-45,25;-4,25;-65,75;79,93
0,235;-44,25;-4,75;-66,00;79,60
0,288;-44,00;-4,00;-66,00;79,42
0,334;-44,00;-3,75;-66,00;79,41
0,434;-43,25;-4,75;-66,25;79,26
0,484;-42,50;-4,25;-66,00;78,61
0,535;-43,00;-4,50;-65,75;78,69
0,583;-43,25;-4,50;-66,00;79,04
0,634;-43,25;-4,50;-66,00;79,04
0,685;-43,25;-4,50;-66,00;79,04
0,736;-44,25;-4,00;-66,25;79,77
0,835;-44,50;-4,50;-65,75;79,52
0,885;-44,25;-4,00;-65,25;78,94
0,935;-43,75;-4,00;-65,50;78,87
0,986;-43,75;-4,50;-65,50;78,90
1,036;-43,50;-4,50;-66,00;79,17
1,086;-43,50;-4,50;-66,00;79,17
1,136;-44,00;-4,50;-66,50;79,87
1,186;-44,00;-4,50;-66,00;79,45
1,235;-43,50;-4,00;-65,75;78,94
1,285;-44,50;-4,00;-65,75;79,49
1,336;-44,50;-4,25;-66,50;80,13
1,386;-43,50;-4,75;-66,50;79,61
1,436;-43,25;-4,25;-66,50;79,44
1,487;-44,00;-4,00;-66,00;79,42
1,537;-44,00;-4,50;-66,00;79,45
1,586;-43,75;-4,25;-66,25;79,51
1,637;-43,25;-4,00;-66,75;79,64
1,687;-43,50;-4,50;-66,75;79,80
1,737;-43,75;-5,00;-67,00;80,18
1,786;-44,25;-4,75;-66,25;79,81
1,836;-44,00;-4,50;-65,75;79,24
1,886;-44,00;-4,50;-65,75;79,24
1,937;-44,00;-4,50;-65,75;79,24
1,987;-44,00;-4,50;-65,75;79,24
2,036;-44,75;-4,50;-65,75;79,66
2,087;-45,00;-4,50;-66,00;80,01
2,138;-44,25;-4,50;-66,50;80,00
2,238;-44,25;-5,00;-66,00;79,62
2,288;-44,00;-4,25;-66,00;79,44
2,338;-43,25;-4,25;-66,00;79,02
2,388;-43,75;-4,50;-66,25;79,52
2,438;-43,75;-4,50;-66,25;79,52
2,493;-43,75;-4,50;-66,25;79,52
2,540;-43,75;-4,50;-66,25;79,52
2,639;-44,75;-5,50;-66,25;80,14
2,689;-44,00;-4,50;-66,25;79,66
2,740;-43,50;-4,75;-66,75;79,81
2,789;-44,00;-5,00;-67,00;80,31
2,840;-43,50;-5,25;-67,00;80,06
2,889;-43,50;-5,00;-66,50;79,62
2,940;-43,50;-5,00;-66,25;79,41
2,990;-44,25;-5,00;-66,25;79,83
3,040;-43,75;-4,75;-66,75;79,95
3,142;-43,75;-4,75;-66,25;79,53
3,204;-43,00;-4,50;-66,25;79,11
3,297;-43,50;-4,75;-65,75;78,98
3,348;-43,50;-4,50;-66,00;79,17
3,415;-44,25;-5,25;-65,50;79,22
3,451;-44,25;-5,00;-66,25;79,83
3,501;-43,75;-4,50;-66,00;79,31
3,553;-44,50;-4,75;-66,25;79,95
3,601;-44,75;-4,75;-66,00;79,88
3,651;-44,25;-5,00;-65,75;79,41
3,702;-44,00;-4,75;-66,00;79,46
3,753;-44,25;-4,75;-66,25;79,81
3,802;-44,00;-4,75;-66,75;80,09
3,851;-43,25;-4,75;-66,25;79,26
3,902;-43,50;-4,25;-65,75;78,95
3,954;-44,00;-5,00;-65,75;79,27
4,003;-43,25;-4,50;-66,25;79,25
4,052;-43,50;-4,25;-66,50;79,58
4,103;-43,50;-4,25;-66,50;79,58
4,153;-44,00;-4,75;-66,75;80,09
4,203;-44,00;-4,50;-66,50;79,87
4,253;-43,50;-4,50;-66,75;79,80
4,304;-44,25;-4,50;-66,25;79,80
4,354;-43,75;-4,25;-66,25;79,51
4,405;-43,50;-4,75;-66,50;79,61
4,454;-43,50;-5,00;-66,75;79,83
4,503;-43,75;-5,25;-66,50;79,77
4,555;-43,25;-5,00;-66,25;79,28
4,604;-43,50;-4,50;-66,25;79,38
4,653;-44,00;-4,75;-66,50;79,88
4,704;-44,75;-5,25;-66,75;80,53
4,754;-44,75;-5,00;-67,00;80,73
4,803;-45,00;-5,00;-66,50;80,45
4,854;-44,50;-5,25;-66,00;79,77
4,903;-45,00;-5,25;-66,00;80,05
4,955;-44,00;-5,00;-66,25;79,69
5,005;-43,75;-5,00;-66,50;79,76
5,106;-44,00;-4,50;-65,75;79,24
5,156;-43,25;-4,50;-65,75;78,83
5,205;-44,00;-4,75;-66,25;79,67
5,256;-44,75;-5,00;-66,50;80,31
5,307;-44,25;-4,75;-66,25;79,81
5,357;-44,75;-5,25;-65,75;79,71
5,406;-44,25;-5,50;-65,75;79,44
5,457;-44,00;-5,50;-66,00;79,51
5,507;-44,25;-5,50;-66,00;79,65
5,557;-44,50;-5,00;-66,00;79,76
5,607;-44,25;-5,25;-66,50;80,05
5,657;-44,25;-5,25;-66,50;80,05
5,706;-44,25;-5,25;-66,50;80,05
5,757;-44,25;-5,25;-66,50;80,05
5,807;-44,25;-5,25;-66,50;80,05
5,856;-44,25;-5,25;-66,50;80,05
5,906;-44,25;-5,25;-66,50;80,05
5,957;-44,25;-5,25;-66,50;80,05
6,007;-44,25;-5,25;-66,50;80,05
6,057;-44,25;-5,25;-66,50;80,05
6,107;-44,25;-5,25;-66,50;80,05
6,157;-44,25;-5,25;-66,50;80,05
6,207;-44,25;-5,25;-66,50;80,05
6,256;-43,00;-5,00;-66,00;78,93
