
time;gfx;gFy;gFz;Bx;By;Bz;
0,0240;-0,0020;-0,1016;0,9890;13,2500;2,0000;41,7500;
0,0300;-0,0020;-0,1016;0,9890;13,2500;2,0000;41,7500;
0,0310;-0,0020;-0,1016;0,9890;13,2500;2,0000;41,7500;
0,0310;-0,0020;-0,1016;0,9890;13,2500;2,0000;41,7500;
0,0320;-0,0020;-0,1016;0,9890;13,2500;2,0000;41,7500;
0,0330;0,0020;-0,0919;0,9714;13,2500;2,0000;41,7500;
0,0350;0,0020;-0,0919;0,9714;13,2500;2,0000;41,7500;
0,0370;0,0020;-0,0919;0,9714;13,2500;2,0000;41,7500;
0,0450;0,0020;-0,0919;0,9714;13,2500;2,0000;41,7500;
0,0490;0,0020;-0,0919;0,9714;13,2500;2,0000;41,7500;
0,0610;0,0020;-0,0919;0,9714;13,2500;2,0000;41,7500;
0,0730;0,0020;-0,0919;0,9714;13,2500;2,0000;41,7500;
0,0740;0,0020;-0,0919;0,9714;13,5000;1,7500;41,5000;
0,0790;0,0020;-0,0919;0,9714;13,5000;1,7500;41,5000;
0,0900;0,0020;-0,0919;0,9714;13,5000;1,7500;41,5000;
0,1000;0,0020;-0,0919;0,9714;13,5000;1,7500;41,5000;
0,1090;0,0020;-0,0919;0,9714;13,5000;1,7500;41,5000;
0,1210;0,0020;-0,0919;0,9714;13,5000;1,7500;41,5000;
0,1290;0,0020;-0,0919;0,9714;13,5000;1,7500;41,5000;
0,1400;0,0020;-0,0919;0,9714;13,5000;1,7500;41,5000;
0,1490;0,0020;-0,0919;0,9714;13,5000;1,7500;41,5000;
0,1600;0,0020;-0,0919;0,9714;13,5000;1,7500;41,5000;
0,1700;0,0020;-0,0919;0,9714;13,5000;1,7500;41,5000;
0,1800;0,0020;-0,0919;0,9714;13,5000;1,7500;41,5000;
0,1900;0,0020;-0,0919;0,9714;13,5000;1,7500;41,5000;
0,1990;0,0020;-0,0919;0,9714;13,5000;1,7500;41,5000;
0,2090;0,0020;-0,0919;0,9714;13,5000;1,7500;41,5000;
0,2190;-0,0039;-0,1094;0,9890;13,5000;1,7500;41,5000;
0,2200;-0,0039;-0,1094;0,9890;13,5000;1,7500;41,5000;
0,2210;-0,0039;-0,1094;0,9890;13,5000;1,7500;41,5000;
0,2290;-0,0039;-0,1094;0,9890;13,5000;1,7500;41,5000;
0,2400;-0,0039;-0,1094;0,9890;13,5000;1,7500;41,5000;
0,2490;-0,0039;-0,1094;0,9890;13,5000;1,7500;41,5000;
0,2610;-0,0039;-0,1094;0,9890;13,5000;1,7500;41,5000;
0,2700;-0,0039;-0,1094;0,9890;13,5000;1,7500;41,5000;
0,2770;-0,0039;-0,1094;0,9890;13,0000;2,5000;41,7500;
0,2860;-0,0039;-0,1094;0,9890;13,0000;2,5000;41,7500;
0,2890;-0,0039;-0,1094;0,9890;13,0000;2,5000;41,7500;
0,3020;-0,0039;-0,1094;0,9890;13,0000;2,5000;41,7500;
0,3100;-0,0039;-0,1094;0,9890;13,0000;2,5000;41,7500;
0,3220;-0,0039;-0,1094;0,9890;13,0000;2,5000;41,7500;
0,3290;-0,0039;-0,1094;0,9890;13,0000;2,5000;41,7500;
0,3410;-0,0039;-0,1094;0,9890;13,0000;2,5000;41,7500;
0,3490;-0,0039;-0,1094;0,9890;13,0000;2,5000;41,7500;
0,3600;-0,0039;-0,1094;0,9890;13,0000;2,5000;41,7500;
0,3690;-0,0039;-0,1094;0,9890;13,0000;2,5000;41,7500;
0,3800;-0,0039;-0,1094;0,9890;13,0000;2,5000;41,7500;
0,3910;-0,0039;-0,1094;0,9890;13,0000;2,5000;41,7500;
0,3990;-0,0039;-0,1094;0,9890;13,0000;2,5000;41,7500;
0,4090;-0,0039;-0,1094;0,9890;13,0000;2,5000;41,7500;
0,4190;-0,0020;-0,1036;0,9870;13,0000;2,5000;41,7500;
0,4210;-0,0020;-0,1036;0,9870;13,0000;2,5000;41,7500;
0,4220;-0,0020;-0,1036;0,9870;13,0000;2,5000;41,7500;
0,4310;-0,0020;-0,1036;0,9870;13,0000;2,5000;41,7500;
0,4390;-0,0020;-0,1036;0,9870;13,0000;2,5000;41,7500;
0,4490;-0,0020;-0,1036;0,9870;13,0000;2,5000;41,7500;
0,4820;-0,0020;-0,1036;0,9870;13,0000;2,5000;41,7500;
0,4830;-0,0020;-0,1036;0,9870;13,0000;1,2500;41,7500;
0,4840;-0,0020;-0,1036;0,9870;13,0000;1,2500;41,7500;
0,4900;-0,0020;-0,1036;0,9870;13,0000;1,2500;41,7500;
0,4990;-0,0020;-0,1036;0,9870;13,0000;1,2500;41,7500;
0,5090;-0,0020;-0,1036;0,9870;13,0000;1,2500;41,7500;
0,5190;-0,0020;-0,1036;0,9870;13,0000;1,2500;41,7500;
0,5290;-0,0020;-0,1036;0,9870;13,0000;1,2500;41,7500;
0,5390;-0,0020;-0,1036;0,9870;13,0000;1,2500;41,7500;
0,5490;-0,0020;-0,1036;0,9870;13,0000;1,2500;41,7500;
0,5600;-0,0020;-0,1036;0,9870;13,0000;1,2500;41,7500;
0,5690;-0,0020;-0,1036;0,9870;13,0000;1,2500;41,7500;
0,5800;-0,0020;-0,1036;0,9870;13,0000;1,2500;41,7500;
0,5890;-0,0020;-0,1036;0,9870;13,0000;1,2500;41,7500;
0,6000;-0,0020;-0,1036;0,9870;13,0000;1,2500;41,7500;
0,6090;-0,0020;-0,1036;0,9870;13,0000;1,2500;41,7500;
0,6180;-0,0039;-0,1114;0,9870;13,0000;1,2500;41,7500;
0,6190;-0,0039;-0,1114;0,9870;13,0000;1,2500;41,7500;
0,6220;-0,0039;-0,1114;0,9870;13,0000;1,2500;41,7500;
0,6310;-0,0039;-0,1114;0,9870;13,0000;1,2500;41,7500;
0,6400;-0,0039;-0,1114;0,9870;13,0000;1,2500;41,7500;
0,6490;-0,0039;-0,1114;0,9870;13,0000;1,2500;41,7500;
0,6610;-0,0039;-0,1114;0,9870;13,0000;1,2500;41,7500;
0,6690;-0,0039;-0,1114;0,9870;13,0000;1,2500;41,7500;
0,6780;-0,0039;-0,1114;0,9870;13,2500;2,7500;41,5000;
0,6820;-0,0039;-0,1114;0,9870;13,2500;2,7500;41,5000;
0,6890;-0,0039;-0,1114;0,9870;13,2500;2,7500;41,5000;
0,7000;-0,0039;-0,1114;0,9870;13,2500;2,7500;41,5000;
0,7120;-0,0039;-0,1114;0,9870;13,2500;2,7500;41,5000;
0,7210;-0,0039;-0,1114;0,9870;13,2500;2,7500;41,5000;
0,7300;-0,0039;-0,1114;0,9870;13,2500;2,7500;41,5000;
0,7400;-0,0039;-0,1114;0,9870;13,2500;2,7500;41,5000;
0,7490;-0,0039;-0,1114;0,9870;13,2500;2,7500;41,5000;
0,7600;-0,0039;-0,1114;0,9870;13,2500;2,7500;41,5000;
0,7690;-0,0039;-0,1114;0,9870;13,2500;2,7500;41,5000;
0,7800;-0,0039;-0,1114;0,9870;13,2500;2,7500;41,5000;
0,7890;-0,0039;-0,1114;0,9870;13,2500;2,7500;41,5000;
0,7990;-0,0039;-0,1114;0,9870;13,2500;2,7500;41,5000;
0,8090;-0,0039;-0,1114;0,9870;13,2500;2,7500;41,5000;
0,8200;-0,0039;-0,1173;0,9890;13,2500;2,7500;41,5000;
0,8210;-0,0039;-0,1173;0,9890;13,2500;2,7500;41,5000;
0,8220;-0,0039;-0,1173;0,9890;13,2500;2,7500;41,5000;
0,8310;-0,0039;-0,1173;0,9890;13,2500;2,7500;41,5000;
0,8400;-0,0039;-0,1173;0,9890;13,2500;2,7500;41,5000;
0,8490;-0,0039;-0,1173;0,9890;13,2500;2,7500;41,5000;
0,8590;-0,0039;-0,1173;0,9890;13,2500;2,7500;41,5000;
0,8690;-0,0039;-0,1173;0,9890;13,2500;2,7500;41,5000;
0,8790;-0,0039;-0,1173;0,9890;13,2500;1,2500;41,7500;
0,8800;-0,0039;-0,1173;0,9890;13,2500;1,2500;41,7500;
0,8930;-0,0039;-0,1173;0,9890;13,2500;1,2500;41,7500;
0,9090;-0,0039;-0,1173;0,9890;13,2500;1,2500;41,7500;
0,9100;-0,0039;-0,1173;0,9890;13,2500;1,2500;41,7500;
0,9220;-0,0039;-0,1173;0,9890;13,2500;1,2500;41,7500;
0,9390;-0,0039;-0,1173;0,9890;13,2500;1,2500;41,7500;
0,9530;-0,0039;-0,1173;0,9890;13,2500;1,2500;41,7500;
0,9640;-0,0039;-0,1173;0,9890;13,2500;1,2500;41,7500;
0,9730;-0,0039;-0,1173;0,9890;13,2500;1,2500;41,7500;
